0x00401000,40
0x00401030,39
0x00401060,61
0x004010a0,63
0x004010e0,1382
0x00401650,135
0x004016e0,72
0x00401730,385
0x004018c0,166
0x00401970,346
0x00401ad0,129
0x00401b60,43
0x00401b90,37
0x00401bc0,168
0x00401c70,125
0x00401cf0,45
0x00401e00,953
0x004021c0,57
0x00402200,63
0x00402240,718
0x00402510,45
0x00402540,10
0x00402550,25
0x00402570,75
0x004025c0,312
0x00402700,41
0x00402730,31
0x00402750,99
0x004027c0,72
0x00402870,16
0x00402880,86
0x00402910,293
0x00402a40,298
0x00402b70,63
0x00402bb0,63
0x00402bf0,16
0x00402c00,171
0x00402cb0,1233
0x004031b0,348
0x00403320,147
0x004033c0,1155
0x00403870,423
0x00403a20,449
0x00403c60,103
0x00403cd0,116
0x00403d50,66
0x00403da0,55
0x00403de0,46
0x00403e10,103
0x00403e80,154
0x00403f20,81
0x00403f80,156
0x00404020,298
0x00404150,265
0x00404260,259
0x00404370,188
0x00404430,173
0x004044e0,79
0x00404530,421
0x00404720,70
0x00404770,139
0x00404800,54
0x00404840,79
0x00404890,39
0x004048c0,67
0x00404910,50
0x004049e0,223
0x00404ac0,121
0x00404b40,178
0x00404c00,746
0x00404f10,236
0x00405000,127
0x00405080,122
0x00405100,242
0x00405200,223
0x004052e0,215
0x00405400,165
0x004054b0,63
0x004054f0,151
0x00405590,111
0x00405600,329
0x0040579a,20
0x004057ae,187
0x00405870,107
0x004058e0,133
0x00405970,63
0x004059b0,141
0x00405a40,29
0x00405a60,311
0x00405c30,503
0x00405e30,260
0x00405f40,165
0x00405ff0,78
0x00406040,45
0x00406070,54
0x00406190,16
0x004061d0,59
0x00406210,16
0x00406260,59
0x004062a0,129
0x00406330,29
0x004063a0,311
0x004064e0,90
0x00406540,28
0x00406560,53
0x004065a0,37
0x004065d0,364
0x00406740,54
0x00406780,34
0x004067b0,26
0x00406800,63
0x00406840,459
0x00406a99,180
0x00406b50,21
0x00406b70,74
0x00406bc0,91
0x00406c20,137
0x00406cb0,605
0x00406f97,202
0x00407070,240
0x00407160,87
0x004071c0,91
0x00407220,57
0x00407260,71
0x004072b0,61
0x004072f0,143
0x00407380,47
0x004073b0,216
0x00407490,172
0x00407540,378
0x004076c0,37
0x004076f0,165
0x004077a0,34
0x004077d0,34
0x00407800,129
0x00407890,121
0x00407910,10
0x00407920,3611
0x00408740,90
0x004087a0,839
0x00408af0,320
0x00408c30,462
0x00408e00,210
0x00408ee0,1006
0x004092d0,544
0x004094f0,86
0x00409550,511
0x00409750,1711
0x00409e10,191
0x00409ed0,646
0x0040a160,533
0x0040a460,743
0x0040a750,4787
0x0040bc30,9
0x0040bc40,175
0x0040bcf0,196
0x0040bdc0,136
0x0040be50,230
0x0040bf40,333
0x0040c090,80
0x0040c0e0,32
0x0040c100,80
0x0040c150,32
0x0040c1e0,193
0x0040c2b0,31
0x0040c2d0,31
0x0040c2f0,16
0x0040c300,50
0x0040c340,83
0x0040c3a0,16
0x0040c3b0,108
0x0040c420,126
0x0040c4a0,693
0x0040c880,360
0x0040c9f0,291
0x0040cb20,220
0x0040cc00,47
0x0040cc30,59
0x0040cc70,1975
0x0040d430,686
0x0040d6f0,807
0x0040da20,29
0x0040da40,120
0x0040dac0,390
0x0040dc50,183
0x0040dd10,245
0x0040de10,59
0x0040de50,59
0x0040de90,17
0x0040deb0,64
0x0040def0,63
0x0040df30,64
0x0040df70,101
0x0040dfe0,113
0x0040e060,178
0x0040e120,79
0x0040e170,324
0x0040e2c0,155
0x0040e360,285
0x0040e480,285
0x0040e5a0,423
0x0040e750,20
0x0040e770,13
0x0040e780,45
0x0040e7b0,17
0x0040e7d0,13
0x0040e7e0,30
0x0040e800,30
0x0040e820,30
0x0040e840,30
0x0040e860,276
0x0040e980,113
0x0040ea00,149
0x0040eaa0,51
0x0040eae0,287
0x0040ec00,143
0x0040ec90,432
0x0040ee40,1347
0x0040f390,41
0x0040f3c0,245
0x0040f4c0,212
0x0040f5a0,117
0x0040f620,970
0x0040f9f0,51
0x0040fa30,79
0x0040fa80,188
0x0040fb40,48
0x0040fb70,209
0x0040fc50,290
0x0040fd80,57
0x0040fdc0,71
0x0040fe10,73
0x0040fe60,59
0x0040fea0,48
0x0040fed0,215
0x0040ffb0,99
0x00410020,156
0x004100c0,698
0x00410380,424
0x00410530,317
0x00410670,266
0x00410780,119
0x00410830,83
0x00410890,101
0x00410900,180
0x004109c0,217
0x00410aa0,1306
0x00411030,309
0x00411170,559
0x004113a0,1227
0x00411870,519
0x00411a80,145
0x00411b20,948
0x00411ee0,75
0x00411f30,31
0x00411f50,628
0x004121d0,204
0x004122a0,94
0x00412300,246
0x00412400,2042
0x00412c00,1496
0x004131e0,248
0x004132e0,99
0x00413350,104
0x004133c0,84
0x00413420,59
0x00413460,63
0x004134a0,430
0x00413650,889
0x004139d0,98
0x00413a40,19
0x00413a60,28
0x00413a80,287
0x00413ba0,161
0x00413c50,144
0x00413ce0,238
0x00413dd0,191
0x00413e90,102
0x00413f00,89
0x00413f60,37
0x00413f90,67
0x00413fe0,170
0x00414090,177
0x00414150,34
0x00414180,168
0x00414230,76
0x00414280,94
0x004142e0,70
0x00414330,147
0x004143d0,286
0x004144f0,390
0x00414680,219
0x00414760,219
0x00414840,219
0x00414920,82
0x00414980,104
0x004149f0,91
0x00414a50,254
0x00414b50,20
0x00414ba0,17
0x00414bc0,45
0x00414bf0,44
0x00414c20,59
0x00414c60,288
0x00414d80,758
0x00415080,639
0x00415300,1886
0x00415a60,702
0x00415d20,384
0x00415ea0,222
0x00415f80,272
0x00416090,254
0x00416190,80
